interview_id,application_id,round_name,scheduled_at,result
1,2,panel,2025-07-31 01:17:20,pass
2,2,panel,2025-08-10 01:17:20,fail
3,2,hiring_manager,2025-08-07 01:17:20,pass
4,4,hiring_manager,2025-10-19 01:22:15,fail
5,8,hiring_manager,2025-05-28 01:49:44,pass
6,8,recruiter,2025-06-07 01:49:44,hold
7,8,final,2025-06-13 01:49:44,pass
8,9,recruiter,2025-03-26 08:07:38,pass
9,9,final,2025-03-26 08:07:38,pass
10,9,hiring_manager,2025-04-03 08:07:38,pass
11,10,panel,2024-11-03 09:42:14,pass
12,10,hiring_manager,2024-11-11 09:42:14,pass
13,12,final,2024-06-21 02:08:32,fail
14,12,final,2024-06-25 02:08:32,hold
15,13,final,2025-01-30 20:46:02,pass
16,13,recruiter,2025-02-01 20:46:02,hold
17,13,recruiter,2025-02-13 20:46:02,pass
18,21,panel,2025-10-10 23:20:07,pass
19,25,recruiter,2024-11-28 02:55:22,pass
20,29,panel,2025-05-12 06:18:41,pass
21,30,hiring_manager,2026-01-06 10:31:40,pass
22,35,final,2024-02-26 12:08:39,hold
23,36,panel,2025-07-30 18:04:34,fail
24,36,final,2025-07-28 18:04:34,pass
25,38,panel,2024-03-31 07:21:52,pass
26,38,panel,2024-04-04 07:21:52,pass
27,41,hiring_manager,2025-02-17 00:02:42,pass
28,44,hiring_manager,2024-08-01 15:07:04,hold
29,52,recruiter,2024-04-20 09:26:48,pass
30,52,hiring_manager,2024-04-22 09:26:48,pass
31,52,hiring_manager,2024-04-26 09:26:48,pass
32,54,recruiter,2025-03-13 22:02:50,pass
33,57,recruiter,2025-03-19 05:32:12,hold
34,57,final,2025-03-22 05:32:12,fail
35,57,hiring_manager,2025-03-26 05:32:12,pass
36,59,final,2024-02-26 19:22:44,pass
37,59,recruiter,2024-03-04 19:22:44,pass
38,60,recruiter,2024-10-08 23:39:15,pass
39,60,panel,2024-10-10 23:39:15,fail
40,78,final,2024-09-24 17:51:11,pass
41,78,final,2024-09-23 17:51:11,pass
42,85,panel,2024-05-12 09:12:43,fail
43,95,panel,2025-05-23 12:26:08,pass
44,95,recruiter,2025-05-21 12:26:08,fail
45,95,panel,2025-05-23 12:26:08,pass
46,98,recruiter,2025-11-13 22:21:32,pass
47,98,final,2025-11-18 22:21:32,pass
48,99,final,2025-11-19 22:42:07,fail
49,99,panel,2025-11-24 22:42:07,fail
50,109,hiring_manager,2024-11-20 21:01:11,pass
51,109,final,2024-11-23 21:01:11,pass
52,120,final,2025-11-04 16:53:46,pass
53,127,panel,2024-01-28 10:50:13,pass
54,136,final,2025-11-12 14:12:06,fail
55,136,final,2025-11-14 14:12:06,pass
56,136,final,2025-11-14 14:12:06,fail
57,140,final,2025-08-19 20:14:02,pass
58,140,panel,2025-08-26 20:14:02,pass
59,140,panel,2025-08-29 20:14:02,pass
60,148,panel,2025-03-23 20:00:37,pass
61,148,recruiter,2025-03-31 20:00:37,pass
62,148,final,2025-04-06 20:00:37,hold
63,149,hiring_manager,2024-04-10 08:59:57,pass
64,149,panel,2024-04-10 08:59:57,hold
65,154,recruiter,2024-04-19 16:15:04,pass
66,154,final,2024-04-19 16:15:04,pass
67,156,hiring_manager,2024-09-30 03:34:25,pass
68,158,hiring_manager,2024-08-14 04:50:01,pass
69,162,final,2024-10-07 13:28:16,pass
70,162,panel,2024-10-13 13:28:16,pass
71,162,final,2024-10-14 13:28:16,pass
72,164,panel,2024-11-13 00:45:07,pass
73,164,recruiter,2024-11-18 00:45:07,pass
74,164,recruiter,2024-11-28 00:45:07,pass
75,167,recruiter,2025-11-22 20:32:04,fail
76,167,final,2025-12-02 20:32:04,pass
77,169,hiring_manager,2024-06-16 06:16:26,pass
78,169,hiring_manager,2024-06-19 06:16:26,pass
79,175,hiring_manager,2024-08-03 13:16:37,pass
80,179,panel,2025-07-04 23:43:43,hold
81,188,recruiter,2024-06-15 14:30:39,pass
82,188,recruiter,2024-06-23 14:30:39,pass
83,209,recruiter,2024-03-02 03:43:50,fail
84,209,hiring_manager,2024-03-05 03:43:50,pass
85,213,recruiter,2025-02-12 22:59:06,pass
86,213,recruiter,2025-02-12 22:59:06,pass
87,215,recruiter,2025-07-17 11:58:52,pass
88,215,recruiter,2025-07-21 11:58:52,pass
89,215,hiring_manager,2025-07-27 11:58:52,pass
90,216,panel,2024-12-02 04:31:36,pass
91,216,recruiter,2024-12-06 04:31:36,pass
92,216,recruiter,2024-12-12 04:31:36,pass
93,219,panel,2025-03-27 21:05:33,hold
94,220,panel,2025-12-13 08:13:05,pass
95,221,hiring_manager,2025-04-02 01:55:31,pass
96,225,panel,2025-08-20 07:01:35,pass
97,225,recruiter,2025-08-27 07:01:35,pass
98,225,hiring_manager,2025-09-02 07:01:35,pass
99,232,panel,2024-01-30 07:40:29,pass
100,232,recruiter,2024-02-03 07:40:29,pass
101,241,panel,2025-02-03 22:45:16,fail
102,241,recruiter,2025-02-09 22:45:16,pass
103,241,panel,2025-02-19 22:45:16,pass
104,242,hiring_manager,2025-03-21 03:26:50,pass
105,242,final,2025-03-23 03:26:50,hold
106,249,hiring_manager,2024-08-08 09:18:30,pass
107,260,panel,2024-02-25 14:40:31,pass
108,260,recruiter,2024-03-01 14:40:31,pass
109,261,final,2025-03-22 08:11:49,pass
110,261,hiring_manager,2025-03-20 08:11:49,hold
111,262,panel,2025-07-12 06:29:16,pass
112,262,recruiter,2025-07-18 06:29:16,pass
113,262,panel,2025-07-20 06:29:16,pass
114,264,recruiter,2025-03-09 05:35:29,pass
115,264,final,2025-03-16 05:35:29,hold
